전표 유형,전표유형명칭
AA,자산 전기
AB,채권채무상계
AF,감가상각 전기
CO,CO 전기
D1,공급매출 전기
D2,판매매출 대체
D3,직영/온라인 매출
D4,콜렉티드 매출
D5,유통 기타매출
D6,수출
D7,수출(세무)
D8,직원구매
D9,[SA]기타매출
DA,간주공급
DC,신용카드 결제
DR,고객 송장(미수금)
DS,제휴몰매출조정
DZ,채권반제
G1,하자(물품대)
G2,하자(패널티)
G3,쇼티지(물품대)
G4,쇼티지(패널티)
HR,급여
K1,[SA]전자(세금)계산서
K2,[SA]법인카드
K3,[SA]일반매입
K4,[SA]선급요청
K5,[SA]출장비(일비)
K6,[SA]출장비(일비) 정산
KC,구매카드발행
KD,가불정산
KP,구매마감
KR,공급업체 송장(미지급)
KT,콜렉티드매입
KY,4대보험
KZ,채무반제
L1,직송하자
L2,직송쇼티지
LS,리스 전표
ML,ML 정산(실제원가조정)
PR,가격 변경
RE,구매송장
RV,대금청구 문서 전송
SA,일반전기
SC,결산조정(원가)
ST,결산조정(자동)
SU,결산조정(수기)
SV,결산조정(관리)
TA,은행입금(의류수금)
TB,은행입금(가상계좌)
TC,은행입금(직영점)
TD,은행입금(기타)
TE,입금전표 (Tmall)
TF,입금전표 (Tmall 수수료)
TG,입금전표 (Taobao)
TH,입금전표 (Taobao 수수료)
TI,입금전표 (JD)
TJ,입금전표 (JD 수수료)
TK,입금전표 (TikTok)
TL,입금전표 (TikTok 수수료)
TR,자금전표
TV,입금전표 (VIP)
WA,출고
WE,입고
WI,재고 문서
WL,출고/납품
YA,백화점반제
YB,면세점반제
YC,대리점(위탁)반제
YD,상설(사입)반제
YE,직영점반제
YF,온라인(자사)반제
YG,온라인(제휴)반제
YH,아울렛(직영)반제
YI,콜렉티드몰 반제
YJ,수출채권반제
YK,기타채권반제
YL,예수보증금
YM,사내판매반제
YN,지급보증금
Z1,중간관리수수료
Z2,중간관리수선비공제
Z3,행낭노트북임대료공제
Z4,매장수선비
Z5,훼손품공제
Z6,장비임대
Z7,O2O수수료
Z8,도급비 수수료
Z9,미판매조정
ZE,기타공제
ZP,지급 전기
ZT,부가세 조정
ZV,지급 반제
ZZ,기초이관
